id,name,address,longitud,latitud
1,Puerta del Sol A,Puerta del Sol nº 1,-3.7018341, 40.4172137
2,Puerta del Sol B,Puerta del Sol nº 1,-3.701602938060457, 40.41731271011562
3,Miguel Moya,Calle Miguel Moya nº 1,-3.7058415, 40.4205886
4,Plaza Conde Suchil,Plaza del Conde del Valle de Súchil nº 3,-3.7069171, 40.4302937
5,Malasaña,Calle Manuela Malasaña nº 5,-3.7025875, 40.4285524
6,Fuencarral,Calle Fuencarral nº 108,-3.70205, 40.42852
7,Colegio Arquitectos,Calle Hortaleza nº 63,-3.698447, 40.424148
8,Hortaleza,Calle Hortaleza nº 75,-3.6977715, 40.4251906
9,Alonso Martínez,Plaza de Alonso Martínez nº 5,-3.6954403, 40.4278682
10,Plaza de San Miguel,Plaza de San Miguel nº 9,-3.7095084, 40.4156057
11,Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16,-3.69214, 40.42533
12,San Andrés,Calle San Andrés nº 18,-3.7035918, 40.4269483
13,San Hermenegildo,Calle San Bernardo nº 85,-3.7061931, 40.4284246
14,Conde Duque,Calle Conde Duque nº 22,-3.7104417, 40.4273264
15,Ventura Rodríguez,Calle Duque de Liria,-3.713479, 40.4260957
16,San Vicente Ferrer,Calle San Vicente Ferrer nº 64,-3.7074453, 40.4262383
17,San Bernardo,Calle San Bernardo nº 22,-3.7075065, 40.4230721
18,Carlos Cambronero,Plaza de Carlos Cambronero nº 2,-3.7038312, 40.4232649
19,Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1,-3.6996502, 40.4207773
20,Prim,Calle Prim nº 2,-3.6954983, 40.4218616
21,Banco de España A,Calle Alcalá nº 49,-3.6954615, 40.4192342
25,Jacometrezo,Calle Jacometrezo nº 3,-3.7065376, 40.4200783
26,Santo Domingo,Plaza de Santo Domingo nº 1,-3.7081246, 40.4202834
27,Palacio de Oriente,Calle Carlos III nº 1,-3.710692, 40.417908
28,Plaza de Celenque A,Plaza de Celenque nº 1,-3.7057791, 40.4173703
29,Plaza de Celenque B,Plaza de Celenque nº 1,-3.7063837, 40.4172781
30,Plaza de las Salesas,Plaza de las Salesas 7,-3.694475, 40.423855
31,Huertas,Calle Jesús nº 1,-3.6956178, 40.4132798
32,Sevilla,Calle Alcalá nº 27,-3.6984368, 40.4181518
33,Marqués de Cubas,Calle del Marqués de Cubas nº 25,-3.6957355, 40.4162619
34,San Quintín,Calle Pavía nº 6,-3.711504, 40.4192095
35,Calle Mayor,Calle Mayor nº 20,-3.7068969, 40.4163638
36,Plaza de la Provincia,Plaza de la Provincia nº 1,-3.7061032, 40.4150099
37,Carretas,Calle Carretas nº 8,-3.7030833, 40.4165039
38,Jacinto Benavente,Plaza de Jacinto Benavente,-3.7036825, 40.4146755
39,Plaza del Cordón,Plaza del Cordón,-3.7103285, 40.4141931
40,Plaza Ramales,Plaza de Ramales,-3.71183, 40.4168
41,Plaza de San Francisco,Plaza de San Francisco nº 5,-3.714113, 40.4108
42,Plaza de los Carros,Carrera de San Francisco nº 1,-3.7114762, 40.4114041
43,Plaza de la Cebada,Plaza de la Cebada nº 16 ,-3.7088337, 40.4112744
44,Conde de Romanones,Plaza del Conde de Romanones nº 9,-3.7049407, 40.4138846
45,Antón Martín,Calle Atocha nº 54,-3.6991147, 40.4122047
46,Santa Isabel,Calle Atocha nº 95,-3.6982318, 40.4107085
47,Jesús y María,Calle Lavapiés nº 34,-3.7025024, 40.4101564
48,Plaza de Nelson Mandela,Calle Mesón de Paredes nº 35,-3.7040666, 40.4097617
49,Puerta de Toledo,Glorieta de la Puerta de Toledo nº 1,-3.7110513, 40.4070358
50,Ribera de Curtidores,Calle Ribera de Curtidores nº 28,-3.7071259, 40.4053153
51,Embajadores 1,Glorieta de Embajadores nº 6,-3.7028265, 40.4047851
52,Embajadores 2,Glorieta de Embajadores nº 2,-3.7022591, 40.4056107
53,Casa Encendida,Ronda de Atocha nº 34,-3.6992759, 40.4060941
