Place of interest,Type of place,Place address,BiciMAD station,Station location
  Ginzo de Limia,Aparcamiento para residentes,"Calle Valencia De Don Juan, 16",Pedro Rico,Calle Pedro Rico nº 4
  Valderromán,Aparcamiento para residentes,"Calle Valderroman, 24",Francos Rodríguez,Calle Francos Rodríguez nº 62
 Aguilar de Campóo,Aparcamiento para residentes,"Calle Antonio Machado, 10",Francos Rodríguez,Calle Francos Rodríguez nº 62
 Aguilón,Aparcamiento para residentes,"Paseo Chopera, 27",Jaime el Conquistador,Calle Jaime el Conquistador nº 30
 Agustín Lara,Aparcamiento para residentes,"Calle Embajadores, 58",Plaza de Nelson Mandela,Calle Mesón de Paredes nº 35
 Alameda (cerrado),Aparcamiento para residentes,"Calle Alameda, 11",Almadén,Calle Almadén nº 28
 Alcalde Sáinz de Baranda,Aparcamiento para residentes,"Calle Alcalde Sainz De Baranda, 81",Sainz de Baranda,Calle Doctor Esquerdo nº 99
 Alcazaba,Aparcamiento para residentes,"Calle Sinesio Delgado, 26",Remonta,Calle Azucenas nº 1
 Alcántara,Aparcamiento para residentes,"Calle Embajadores, 58",Plaza de Nelson Mandela,Calle Mesón de Paredes nº 35
 Almagro,Aparcamiento público,"Calle Almagro, 13",Rubén Darío,Glorieta Rubén Darío 2
 Alonso Cano,Aparcamiento para residentes,"Calle Jose Abascal, 21",José Abascal,Calle José Abascal nº 33
 Altos de Lillo,Aparcamiento para residentes,"Calle Bubierca, 5",Pavones,Calle Hacienda de Pavones nº 342
 Aluche,Aparcamiento para residentes,"Calle Illescas, 151",Caramuel,Calle Caramuel nº 51
 América Española,Aparcamiento para residentes,"Calle Sancho Davila, 1",Alcalá-Ventas,Calle Alejandro González nº 1
 Andorra II,Aparcamiento para residentes,"Calle Silvano, 61",Carlota O’Neill,Calle Carlota O'Neill nº 32
 Andévalo,Aparcamiento para residentes,"Calle Andevalo, 6",Concordia,Calle Arroyo del Olivar nº 6
 Angel Carbajo,Aparcamiento para residentes,"Plaza Angel Carbajo, 8",Remonta,Calle Azucenas nº 1
 Antonio López,Aparcamiento para residentes,"Calle Antonio Lopez, 15",Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
 Antonio Machado,Aparcamiento para residentes,"Calle Antonio Machado, 19",Francos Rodríguez,Calle Francos Rodríguez nº 62
 Antonio Maura,Aparcamiento para residentes,"Calle Antonio Maura, 7",Antonio Maura,Calle Antonio Maura nº 15
 Antonio Mena,Aparcamiento para residentes,"Avenida Doctor Garcia Tapia, 119",Marroquina,Calle Camino de los Vinateros nº 108
 Antonio Pirala,Aparcamiento para residentes,"Calle Antonio Pirala, 8",Puente de Ventas,Avenida de Daroca nº 2
 Arganda,Aparcamiento para residentes,"Calle Arganda, 10",Madrid Río-Yeserías,Paseo de Yeserías nº 45
 Arroyo Fontarrón,Aparcamiento para residentes,"Calle Arroyo Fontarron, 9",Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6
 Arroyo Media Legua,Aparcamiento para residentes,"Calle Corregidor Diego Cabeza De Vaca, 4",Camino Vinateros,Calle Camino de los Vinateros nº 28
 Arroyo del Olivar,Aparcamiento para residentes,"Calle Arroyo Del Olivar, 51",Sierra Toledana,Camino de Valderribas nº 94
 Auditorio Nacional de Música (Príncipe de Vergara),Aparcamiento público,"Calle Cartagena, 176",María Francisca 1,Calle María Francisca nº 1
